name,iso_a3,currency_code,local_price,dollar_ex,dollar_price,GDP_dollar,GDP_local,date
Argentina,ARG,ARS,20,4.1325,4.84,10412.974,40739.985,2011-07-01
Argentina,ARG,ARS,20,4.3135,4.64,12787.806,52810.117,2012-01-01
Argentina,ARG,ARS,590,129.115,4.57,10658.458,1013547.474,2022-07-01
Argentina,ARG,ARS,450,105.0165,4.29,10658.458,1013547.474,2022-01-01
Argentina,ARG,ARS,19,4.56625,4.16,12787.806,52810.117,2012-07-01
Argentina,ARG,ARS,70,16.9675,4.13,12772.868,188760.956,2017-07-01
Argentina,ARG,ARS,75,18.9375,3.96,14618.327,242031.427,2018-01-01
Argentina,ARG,ARS,380,96.33375,3.94,8571.937,605476.777,2021-07-01
Argentina,ARG,ARS,21,5.4125,3.88,13889.792,63208.892,2013-07-01
Argentina,ARG,ARS,19,4.9765,3.82,13889.792,63208.892,2013-01-01
Argentina,ARG,ARS,320,85.3736,3.75,8571.937,605476.777,2021-01-01
Argentina,ARG,ARS,11,3.0195,3.64,7315.726,22791.226,2008-06-01
Argentina,ARG,ARS,14,3.93375,3.56,8337.811,31093.737,2010-07-01
Argentina,ARG,ARS,250,71.24065,3.51,10054.023,485155.344,2020-07-01
Argentina,ARG,ARS,55,15.8575,3.47,12772.868,188760.956,2017-01-01
Argentina,ARG,ARS,50,14.935,3.35,14895.316,138053.315,2016-07-01
Argentina,ARG,ARS,28,8.61,3.25,13208.831,107315.212,2015-01-01
Argentina,ARG,ARS,28,9.135,3.07,13208.831,107315.212,2015-07-01
Argentina,ARG,ARS,21,6.92125,3.03,14488.829,79338.285,2014-01-01
Argentina,ARG,ARS,11.5,3.81125,3.02,9146.79,28925.107,2009-07-01
Argentina,ARG,ARS,120,41.8045,2.87,11786.433,331385.003,2019-07-09
Argentina,ARG,ARS,171,60.0656,2.85,10054.023,485155.344,2020-01-14
Argentina,ARG,ARS,75,27.725,2.71,14618.327,242031.427,2018-07-01
Argentina,ARG,ARS,8.25,3.08875,2.67,5976.082,18370.363,2007-01-01
Argentina,ARG,ARS,8.25,3.0915,2.67,5976.082,18370.363,2007-06-01
Argentina,ARG,ARS,21,8.16875,2.57,14488.829,79338.285,2014-07-01
Argentina,ARG,ARS,2.5,1,2.5,8709.072,8709.072,2000-04-01
Argentina,ARG,ARS,2.5,1,2.5,8638.543,8638.543,2001-04-01
Argentina,ARG,ARS,33,13.80925,2.39,14895.316,138053.315,2016-01-01
Argentina,ARG,ARS,7,3.0565,2.29,5163.55,15094.732,2006-05-01
Argentina,ARG,ARS,75,37.455,2,11786.433,331385.003,2019-01-01
Argentina,ARG,ARS,7,3.7985,1.84,8337.811,31093.737,2010-01-01
Argentina,ARG,ARS,4.75,2.897,1.64,4314.098,12690.697,2005-06-01
Argentina,ARG,ARS,4.75,3.0638,1.55,5163.55,15094.732,2006-01-01
Argentina,ARG,ARS,4.36,2.95,1.48,3761.088,11098.367,2004-05-01
Argentina,ARG,ARS,4.1,2.88,1.42,2997.621,9315.73,2003-04-01
Argentina,ARG,ARS,2.5,3.13,0.8,8085.356,8085.356,2002-04-01
Australia,AUS,AUD,6.48,1.299967501,4.98,52847.678,76543.975,2021-01-01
Australia,AUS,AUD,4.56,0.922381589,4.94,56538.759,61488.642,2011-07-01
Australia,AUS,AUD,4.8,0.972337012,4.94,67252.346,65153.59,2012-01-01
Australia,AUS,AUD,4.7,0.959094615,4.9,68440.963,66075.475,2013-01-01
Australia,AUS,AUD,5.1,1.059378145,4.81,65198.329,67323.977,2014-07-01
Australia,AUS,AUD,6.55,1.366586949,4.79,52847.678,76543.975,2021-07-01
Australia,AUS,AUD,5.9,1.253682693,4.71,55785.497,72753.584,2018-01-01
Australia,AUS,AUD,4.56,0.974326497,4.68,67252.346,65153.59,2012-07-01
Australia,AUS,AUD,6.7,1.44843568945539,4.63,63529.289,84505.238,2022-07-01
Australia,AUS,AUD,5.035,1.089858863,4.62,68440.963,66075.475,2013-07-01
Australia,AUS,AUD,6.55,1.430615165,4.58,54254.857,78016.93,2020-07-01
Australia,AUS,AUD,5.9,1.303016483,4.53,51821.817,69663.387,2017-07-01
Australia,AUS,AUD,6.05,1.339853956,4.52,55785.497,72753.584,2018-07-01
Australia,AUS,AUD,6.4,1.419345682,4.51,63529.289,84505.238,2022-01-01
Australia,AUS,AUD,5.05,1.128859288,4.47,65198.329,67323.977,2014-01-01
Australia,AUS,AUD,6.45,1.449065353,4.45,54254.857,78016.93,2020-01-14
Australia,AUS,AUD,6.1,1.401639919,4.35,56293.332,75244.333,2019-01-01
Australia,AUS,AUD,5.3,1.227219734,4.32,61611.385,68252.682,2015-01-01
Australia,AUS,AUD,5.75,1.335737661,4.3,51413.662,68313.597,2016-07-01
Australia,AUS,AUD,5.8,1.356668023,4.28,51821.817,69663.387,2017-01-01
Australia,AUS,AUD,6.15,1.443626389,4.26,56293.332,75244.333,2019-07-09
Australia,AUS,AUD,4.35,1.09355,3.98,45733.768,57795.472,2010-01-01
Australia,AUS,AUD,5.3,1.35126005,3.92,61611.385,68252.682,2015-07-01
Australia,AUS,AUD,4.35,1.133722578,3.84,45733.768,57795.472,2010-07-01
Australia,AUS,AUD,5.3,1.415728746,3.74,51413.662,68313.597,2016-01-01
Australia,AUS,AUD,4.34,1.2869,3.37,49167.075,57487.547,2009-07-01
Australia,AUS,AUD,3.45,1.026,3.36,45156.324,53849.804,2008-06-01
Australia,AUS,AUD,3.45,1.17,2.95,37927.367,50344.91,2007-06-01
Australia,AUS,AUD,3.45,1.266865,2.72,37927.367,50344.91,2007-01-01
Australia,AUS,AUD,3.25,1.3015,2.5,32841.397,44586.395,2005-06-01
Australia,AUS,AUD,3.25,1.3308,2.44,36215.274,47411.957,2006-01-01
Australia,AUS,AUD,3.25,1.33253,2.44,36215.274,47411.957,2006-05-01
Australia,AUS,AUD,3.25,1.43,2.27,27281.688,41852.853,2004-05-01
Australia,AUS,AUD,3,1.61,1.86,21682.32,39866.025,2003-04-01
Australia,AUS,AUD,3,1.86,1.61,19472.573,37619.656,2002-04-01
Australia,AUS,AUD,2.59,1.68,1.54,21746.809,33698.764,2000-04-01
Australia,AUS,AUD,3,1.98,1.52,20877.997,35855.374,2001-04-01
Austria,AUT,EUR,3.88,0.823011399,4.71,48636.302,42615.504,2021-01-01
Austria,AUT,EUR,3.92,0.850159405,4.61,48636.302,42615.504,2021-07-01
Austria,AUT,EUR,3.39,0.736946829,4.6,48616.903,37816.442,2013-01-01
Austria,AUT,EUR,3.39,0.737218475,4.6,50747.384,38209.439,2014-01-01
Austria,AUT,EUR,3.39,0.742748914,4.56,50747.384,38209.439,2014-07-01
Austria,AUT,EUR,4.35,0.975849999999997,4.46,53367.54,45091.965,2022-07-01
Austria,AUT,EUR,3.09,0.697520315,4.43,46955.173,35389.805,2011-07-01
Austria,AUT,EUR,3.86,0.879623521,4.39,50239.416,44872.725,2020-07-01
Austria,AUT,EUR,3.39,0.777756173,4.36,48616.903,37816.442,2013-07-01
Austria,AUT,EUR,3.76,0.872486149,4.31,51254.398,43381.151,2019-01-01
Austria,AUT,EUR,3.81,0.892339267,4.27,51254.398,43381.151,2019-07-09
Austria,AUT,EUR,3.84,0.899159286,4.27,50239.416,44872.725,2020-01-14
Austria,AUT,EUR,3.8,0.89206066,4.26,53367.54,45091.965,2022-01-01
Austria,AUT,EUR,3.4,0.816826629,4.16,47320.537,41903.187,2018-01-01
Austria,AUT,EUR,3.4,0.853205921,3.98,47320.537,41903.187,2018-07-01
Austria,AUT,EUR,3.6,0.908306463,3.96,44267.809,39894.379,2016-07-01
Austria,AUT,EUR,3.39,0.863073404,3.93,51814.424,38992.129,2015-01-01
Austria,AUT,EUR,3.09,0.788239467,3.92,51452.276,36970.536,2012-01-01
Austria,AUT,EUR,3.4,0.875695083,3.88,45278.829,40917.155,2017-07-01
Austria,AUT,EUR,3.19,0.824844311,3.87,51452.276,36970.536,2012-07-01
Austria,AUT,EUR,3.5,0.930232558,3.76,44267.809,39894.379,2016-01-01
Austria,AUT,EUR,3.39,0.912700224,3.71,51814.424,38992.129,2015-07-01
Austria,AUT,EUR,3.4,0.955246692,3.56,45278.829,40917.155,2017-01-01
Azerbaijan,AZE,AZN,4.7,1.69825,2.77,5397.928,9176.478,2022-07-01
Azerbaijan,AZE,AZN,4.5,1.699,2.65,5397.928,9176.478,2022-01-01
Azerbaijan,AZE,AZN,3.95,1.6965,2.33,4759.796,8091.654,2019-01-01
Azerbaijan,AZE,AZN,3.95,1.6965,2.33,4759.796,8091.654,2019-07-09
Azerbaijan,AZE,AZN,3.95,1.6965,2.33,4826.352,8204.799,2020-01-14
Azerbaijan,AZE,AZN,3.95,1.70175,2.32,4217.653,7170.01,2018-07-01
Azerbaijan,AZE,AZN,3.95,1.699,2.32,4826.352,8204.799,2020-07-01
Azerbaijan,AZE,AZN,3.95,1.699,2.32,4240.844,7209.435,2021-01-01
Azerbaijan,AZE,AZN,3.95,1.699,2.32,4240.844,7209.435,2021-07-01
Bahrain,BHR,BHD,1.6,0.377,4.24,26135.777,9827.052,2022-07-01
Bahrain,BHR,BHD,1.5,0.377,3.98,23585.91,8868.302,2021-01-01
Bahrain,BHR,BHD,1.5,0.377,3.98,23585.91,8868.302,2021-07-01
Bahrain,BHR,BHD,1.5,0.377,3.98,26135.777,9827.052,2022-01-01
Bahrain,BHR,BHD,1.4,0.377,3.71,25149.487,9456.207,2019-07-09
Bahrain,BHR,BHD,1.4,0.377,3.71,26050.98,9795.168,2020-01-14
Bahrain,BHR,BHD,1.4,0.37705,3.71,26050.98,9795.168,2020-07-01
Bahrain,BHR,BHD,1.2,0.377,3.18,25149.487,9456.207,2019-01-01
Bahrain,BHR,BHD,1.2,0.37955,3.16,23631.585,8885.476,2018-07-01
Belgium,BEL,EUR,3.75,0.697520315,5.38,44448.17,33500.294,2011-07-01
Belgium,BEL,EUR,3.95,0.737218475,5.36,46848.612,35273.92,2014-01-01
Belgium,BEL,EUR,4.35,0.823011399,5.29,45254.723,39652.539,2021-01-01
Belgium,BEL,EUR,4.45,0.850159405,5.23,45254.723,39652.539,2021-07-01
Belgium,BEL,EUR,3.8,0.736946829,5.16,44824.163,34866.276,2013-01-01
Belgium,BEL,EUR,4.55,0.89206066,5.1,51875.037,43830.901,2022-01-01
Belgium,BEL,EUR,4.1,0.816826629,5.02,44274.073,39205.488,2018-01-01
Belgium,BEL,EUR,3.7,0.742748914,4.98,46848.612,35273.92,2014-07-01
